Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_toc_item_collapsed.png,7,0.0,0,0,0,0,16,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_toc_item_expanded.png,7,0.0,0,0,0,0,13,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_toc_item_normal.png,8,0.0,0,0,0,0,22,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_bookmarks.png,24,0.0,0,0,1,0,76,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_exit.png,17,0.0,0,0,0,0,50,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_fileopen.png,18,0.0,0,0,0,0,75,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_find.png,19,0.0,0,0,0,0,71,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_goto.png,8,0.0,0,0,0,0,33,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_settings.png,26,0.038461538461538464,0,0,1,0,90,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_viewer_toc.png,13,0.0,0,0,0,0,46,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\ic_menu_archive.png,14,0.0,0,0,0,0,40,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\ic_menu_goto.png,18,0.0,0,0,0,0,51,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\ic_menu_mark.png,22,0.0,0,0,1,0,90,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_fabric.jpg,61,0.01639344262295082,0,0,1,0,268,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_fabric_dark.jpg,63,0.0,0,0,1,0,279,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_fabric_indigo_fibre.jpg,38,0.02631578947368421,0,0,1,0,169,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_fabric_indigo_fibre_dark.jpg,36,0.0,0,0,1,0,149,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_gray_sand.jpg,80,0.0,0,0,1,0,326,0
